Location,Poverty Level,TimeFrame,DataFormat,Data
ACADEMY 20,Eligible for Free Lunch,2014,Number,2156
ACADEMY 20,Eligible for Free or Reduced Lunch,2014,Number,3132
ACADEMY 20,Eligible for Free or Reduced Lunch,2014,Percent,0.12743
ACADEMY 20,Eligible for Reduced Price Lunch,2014,Number,976
ACADEMY 20,Eligible for Reduced Price Lunch,2014,Percent,0.03971
ACADEMY 20,Eligible for Free Lunch,2014,Percent,0.08772
ACADEMY 20,Eligible for Reduced Price Lunch,2012,Percent,0.03512
ACADEMY 20,Eligible for Free Lunch,2012,Percent,0.09027
ACADEMY 20,Eligible for Reduced Price Lunch,2012,Number,842
ACADEMY 20,Eligible for Free or Reduced Lunch,2012,Percent,0.12539
ACADEMY 20,Eligible for Free Lunch,2012,Number,2164
ACADEMY 20,Eligible for Free or Reduced Lunch,2012,Number,3006
ACADEMY 20,Eligible for Reduced Price Lunch,2011,Number,839
ACADEMY 20,Eligible for Free Lunch,2011,Number,1995
ACADEMY 20,Eligible for Reduced Price Lunch,2011,Percent,0.0355
ACADEMY 20,Eligible for Free or Reduced Lunch,2011,Number,2834
ACADEMY 20,Eligible for Free or Reduced Lunch,2011,Percent,0.1198
ACADEMY 20,Eligible for Free Lunch,2011,Percent,0.0843
ACADEMY 20,Eligible for Reduced Price Lunch,2010,Percent,0.034
ACADEMY 20,Eligible for Free or Reduced Lunch,2010,Percent,0.113
ACADEMY 20,Eligible for Free Lunch,2010,Percent,0.079
ACADEMY 20,Eligible for Free Lunch,2010,Number,1827
ACADEMY 20,Eligible for Free or Reduced Lunch,2010,Number,2601
ACADEMY 20,Eligible for Free Lunch,2009,Number,1599
ACADEMY 20,Eligible for Reduced Price Lunch,2010,Number,774
ACADEMY 20,Eligible for Free or Reduced Lunch,2009,Number,2338
ACADEMY 20,Eligible for Reduced Price Lunch,2009,Number,739
ACADEMY 20,Eligible for Reduced Price Lunch,2009,Percent,0.0327
ACADEMY 20,Eligible for Free or Reduced Lunch,2009,Percent,0.1034
ACADEMY 20,Eligible for Reduced Price Lunch,2013,Percent,0.03991
ACADEMY 20,Eligible for Free Lunch,2009,Percent,0.0707
ACADEMY 20,Eligible for Free or Reduced Lunch,2013,Percent,0.13173
ACADEMY 20,Eligible for Free Lunch,2013,Percent,0.09183
ACADEMY 20,Eligible for Free Lunch,2013,Number,2248
ACADEMY 20,Eligible for Free or Reduced Lunch,2013,Number,3225
ACADEMY 20,Eligible for Reduced Price Lunch,2013,Number,977
ACADEMY 20,Eligible for Reduced Price Lunch,2008,Number,715
ACADEMY 20,Eligible for Free or Reduced Lunch,2008,Number,2058
ACADEMY 20,Eligible for Free Lunch,2008,Number,1343
ACADEMY 20,Eligible for Reduced Price Lunch,2008,Percent,0.0326
ACADEMY 20,Eligible for Free or Reduced Lunch,2008,Percent,0.0939
ACADEMY 20,Eligible for Reduced Price Lunch,2007,Percent,0.03
ACADEMY 20,Eligible for Free Lunch,2008,Percent,0.0613
ACADEMY 20,Eligible for Free or Reduced Lunch,2007,Percent,0.08
ACADEMY 20,Eligible for Free Lunch,2007,Percent,0.05
ACADEMY 20,Eligible for Reduced Price Lunch,2007,Number,559
ACADEMY 20,Eligible for Free or Reduced Lunch,2007,Number,1630
ACADEMY 20,Eligible for Free Lunch,2007,Number,1071
ACADEMY 20,Eligible for Free Lunch,2006,Number,881
ACADEMY 20,Eligible for Free or Reduced Lunch,2006,Number,1534
ACADEMY 20,Eligible for Reduced Price Lunch,2006,Number,653
ACADEMY 20,Eligible for Reduced Price Lunch,2006,Percent,0.0308
ACADEMY 20,Eligible for Free or Reduced Lunch,2006,Percent,0.0723
ACADEMY 20,Eligible for Free Lunch,2006,Percent,0.0416
ACADEMY 20,Eligible for Reduced Price Lunch,2005,Percent,0.0223
ACADEMY 20,Eligible for Free Lunch,2005,Percent,0.0364
ACADEMY 20,Eligible for Reduced Price Lunch,2005,Number,458
ACADEMY 20,Eligible for Free or Reduced Lunch,2005,Percent,0.0587
ACADEMY 20,Eligible for Free Lunch,2005,Number,746
ACADEMY 20,Eligible for Free or Reduced Lunch,2005,Number,1204
ACADEMY 20,Eligible for Reduced Price Lunch,2004,Number,501
ACADEMY 20,Eligible for Free or Reduced Lunch,2004,Number,1182
ACADEMY 20,Eligible for Free Lunch,2004,Number,681
ACADEMY 20,Eligible for Reduced Price Lunch,2004,Percent,0.0253
ACADEMY 20,Eligible for Free or Reduced Lunch,2004,Percent,0.0596
ACADEMY 20,Eligible for Reduced Price Lunch,2003,Percent,0.02
ACADEMY 20,Eligible for Free Lunch,2004,Percent,0.0344
ACADEMY 20,Eligible for Free or Reduced Lunch,2003,Percent,0.06
ACADEMY 20,Eligible for Free Lunch,2003,Percent,0.03
ACADEMY 20,Eligible for Free Lunch,2003,Number,627
ACADEMY 20,Eligible for Free or Reduced Lunch,2003,Number,1062
ACADEMY 20,Eligible for Reduced Price Lunch,2003,Number,435
ACADEMY 20,Eligible for Free Lunch,2002,Number,509
ACADEMY 20,Eligible for Free or Reduced Lunch,2002,Number,905
ACADEMY 20,Eligible for Reduced Price Lunch,2002,Number,396
ACADEMY 20,Eligible for Reduced Price Lunch,2002,Percent,0.02118
ACADEMY 20,Eligible for Free or Reduced Lunch,2002,Percent,0.0484
ACADEMY 20,Eligible for Free Lunch,2002,Percent,0.02722
ACADEMY 20,Eligible for Reduced Price Lunch,2001,Percent,0.02244
ACADEMY 20,Eligible for Free or Reduced Lunch,2001,Percent,0.04714
ACADEMY 20,Eligible for Free Lunch,2001,Percent,0.0247
ACADEMY 20,Eligible for Free Lunch,2001,Number,448
ACADEMY 20,Eligible for Free or Reduced Lunch,2001,Number,855
ACADEMY 20,Eligible for Reduced Price Lunch,2001,Number,407
ACADEMY 20,Eligible for Free Lunch,2000,Number,369
ACADEMY 20,Eligible for Free or Reduced Lunch,2000,Number,701
ACADEMY 20,Eligible for Reduced Price Lunch,2000,Number,332
ACADEMY 20,Eligible for Free Lunch,2000,Percent,0.02
ACADEMY 20,Eligible for Free or Reduced Lunch,2000,Percent,0.04
ACADEMY 20,Eligible for Reduced Price Lunch,2000,Percent,0.02
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2005,Number,1958
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2005,Percent,0.4935
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2005,Number,14476
EAST OTERO R-1,Eligible for Free or Reduced Lunch,2014,Number,973
EAST OTERO R-1,Eligible for Free Lunch,2014,Number,863
EAST OTERO R-1,Eligible for Free Lunch,2014,Percent,0.65928
EAST OTERO R-1,Eligible for Reduced Price Lunch,2014,Percent,0.08403
EAST YUMA COUNTY RJ-2,Eligible for Reduced Price Lunch,2014,Percent,NA
EAST YUMA COUNTY RJ-2,Eligible for Free Lunch,2014,Percent,NA
EAST YUMA COUNTY RJ-2,Eligible for Free Lunch,2014,Number,NA
ENGLEWOOD 1,Eligible for Reduced Price Lunch,2009,Percent,0.0893
ENGLEWOOD 1,Eligible for Free or Reduced Lunch,2009,Percent,0.5464
ENGLEWOOD 1,Eligible for Free Lunch,2009,Percent,0.4571
FOWLER R-4J,Eligible for Free Lunch,2014,Percent,0.40299
FOWLER R-4J,Eligible for Reduced Price Lunch,2014,Percent,0.13682
FRENCHMAN RE-3,Eligible for Reduced Price Lunch,2014,Percent,0.13131
FRENCHMAN RE-3,Eligible for Free Lunch,2014,Percent,0.22222
